,"Jan 16","Feb 16","Mar 16","Apr 16","May 16","Jun 16","Jul 16","Aug 16","Sep 16","Oct 16","Nov 16","Dec 16","Jan 17","Feb 17","Mar 17","Apr 17","May 17","Jun 17","Jul 17","Aug 17","Sep 17","Oct 17","Nov 17","Dec 17","Jan 18","Feb 18","Mar 18","Apr 18","May 18","Jun 18","Jul 18","Aug 18","Sep 18","Oct 18","Nov 18","Dec 18","Jan 19","Feb 19","Mar 19","Apr 19","May 19","Jun 19","Jul 19","Aug 19","Sep 19","Oct 19","Nov 19","Dec 19","Jan 20","Feb 20","Mar 20","Apr 20","May 20","TOTAL"
"Ordinary Income/Expense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7270 · Trash Removal",393.05,404.52,406.93,609.30,617.46,531.96,542.25,32.26,917.73,15.20,826.90,624.99,929.35,360.00,357.98,28.49,745.27,4.01,725.69,364.12,0.00,732.36,389.09,384.04,437.61,403.70,284.04,505.19,449.44,683.10,495.06,79.21,485.69,881.12,1137.42,982.90,1942.18,28.53,0.00,2112.25,550.28,29.37,618.02,0.00,644.51,624.34,622.41,591.06,618.61,694.04,1288.21,0.00,625.78,28757.02
"7280 · Taxes-Personal Property",327.21,1471.84,5030.90,740.22,8.25,414.56,8.89,251.80,588.19,0.00,15.97,120.77,891.81,1552.04,-0.07,3810.02,4447.32,416.15,1.08,11055.35,-0.18,1869.52,-0.17,1791.18,0.00,-1.45,0.00,0.00,4692.97,319.42,371.00,3550.73,4573.48,4318.35,2900.08,3356.95,1100.20,3456.68,849.14,1050.71,-0.05,95.97,15.60,12343.26,3606.93,295.81,1363.77,1667.76,-0.08,0.00,-0.11,0.00,0.00,84739.77
"7285 · Taxes-Real Estate Property",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.00
"7290 · Utilities",1431.93,1297.73,1908.48,710.04,1369.61,1534.26,1611.18,1661.59,2004.72,1725.74,1611.73,1668.05,400.27,1334.47,1130.71,1108.49,1142.00,1553.06,1385.51,1372.52,1385.84,1273.46,1047.49,1338.89,1433.20,1222.99,1112.33,1122.93,1110.63,1205.91,1230.92,1207.52,1270.25,1161.87,1138.93,1145.67,1169.82,1117.98,1398.61,1188.43,1193.92,1391.74,1321.80,1499.09,1163.98,1072.67,913.95,1411.84,1116.91,831.02,1579.50,1156.54,616.27,67514.99
"7295 · Allocated Facility Costs",1110.87,1111.92,2556.25,2556.25,2556.25,2848.65,3731.25,2631.25,2631.25,2631.25,2631.25,2631.25,1796.34,1924.43,1922.28,0.00,2087.43,2027.31,1709.60,0.00,2737.82,1500.42,1633.21,1466.12,2489.53,1668.29,1683.06,1818.58,1809.26,1656.46,1813.33,6911.25,1796.82,1700.68,1787.39,1527.79,2056.19,2205.32,1916.95,2036.11,2747.64,1846.62,1960.95,1858.23,2174.57,2101.69,1887.11,1823.21,1949.50,1633.84,1329.51,1721.66,1472.72,107816.91
"Total 7200 · FACILITY EXPENSE",14824.18,5206.09,10552.86,5739.01,9826.87,11588.51,35984.37,17007.80,22379.13,9724.77,10229.00,10293.26,10304.24,5689.48,3975.62,5585.84,9101.46,15612.36,10012.37,18939.98,12969.60,12785.50,9349.47,11864.31,10526.49,9648.78,9114.49,9650.54,14393.17,10351.67,15173.55,17867.72,14960.32,14111.13,14292.96,13517.56,12505.03,13389.36,10952.27,12959.40,10686.67,15719.13,10520.69,22258.42,14623.63,10559.37,11382.40,11966.63,9857.76,14865.11,10881.85,9130.38,9046.39,654458.95
"7400 · PROFESSIONAL FEES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7410 · Accounting",0.00,50.00,0.00,2090.00,1200.00,0.00,0.00,4900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5528.01,0.00,0.00,0.00,3413.83,0.00,2200.96,0.00,0.00,0.00,0.00,200.00,2847.02,0.00,0.00,0.00,3519.68,0.00,0.00,0.00,0.00,0.00,200.00,0.00,2437.45,0.00,0.00,0.00,2876.05,0.00,0.00,0.00,0.00,0.00,0.00,3900.00,0.00,35363.00
"7420 · Legal",0.00,0.00,0.00,0.00,1719.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1836.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12028.04,9014.03,0.00,24597.91
"7430 · Payroll Services",108.27,1333.19,119.85,703.48,621.56,723.77,354.42,657.13,543.66,48.22,247.45,145.41,230.40,937.80,227.72,95.16,193.32,349.29,190.40,-138.20,281.16,142.21,152.59,-500.69,202.74,1360.74,552.99,241.04,243.31,389.36,351.39,584.76,449.41,430.25,476.29,400.19,360.25,1131.72,506.15,467.25,595.21,640.91,663.00,725.52,583.50,397.98,533.80,564.77,471.25,1360.50,715.27,772.52,656.97,24596.61
"7450 · Other Professional Fees",0.00,118.50,0.00,136.68,250.00,250.00,346.00,250.00,500.00,521.09,3557.65,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,-250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,6.25,6.25,6.25,3.75,403.75,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6616.17
"7460 · IT Services",0.00,0.00,0.00,0.00,0.00,104.81,0.00,0.00,585.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.74,0.00,281.88,273.00,0.00,0.00,161.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1562.65
"7470 · Allocated Professional Fees",1370.84,1387.73,1067.19,1067.19,1067.19,1067.19,1067.19,1067.19,1067.19,1067.19,1067.19,1067.19,1789.18,1698.77,2498.08,0.00,4697.34,158.47,-1.63,0.00,2.69,616.66,24.27,25.67,34.26,1003.88,26.57,101.16,152.63,20.85,47.35,20.37,26.44,3697.87,1730.69,339.17,921.18,261.18,20.41,104.66,29.04,2177.34,449.85,1668.14,664.57,402.31,3218.27,36.19,45.77,45.49,55.06,49.89,95.42,42385.98
"7480 · CRC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,1350.00,1875.00,1490.00,1910.00,1420.00,1525.00,1490.00,1315.00,1175.00,1385.00,1455.00,1205.00,1170.00,1170.00,1310.00,1695.00,2815.00,5315.00,0.00,1310.00,1765.00,1345.00,508.00,412.00,664.00,964.00,1504.00,2768.00,2976.00,1736.00,708.00,492.00,396.00,508.00,360.00,308.00,588.00,1144.00,1144.00,53020.00
"Total 7400 · PROFESSIONAL FEES",1479.11,2889.42,1187.04,3997.35,4858.23,2145.77,1767.61,6874.32,2696.71,1636.50,4872.29,1462.60,2019.58,2986.57,4075.80,1970.16,11908.67,2417.76,1710.90,1386.80,5437.68,1823.87,3552.82,909.98,1692.00,3569.62,3585.92,1712.20,4552.96,2105.21,3213.74,5920.13,3995.53,5438.12,3971.98,2084.36,1789.43,1804.90,1390.56,1595.90,4571.95,5874.38,4368.10,4133.41,5235.87,1457.27,4148.07,1108.96,877.02,1713.99,13386.37,14880.44,1896.39,188142.32
"7500 · VEHICLE COSTS - NON MOVING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7540 · Repairs & Maintenance",1647.16,936.34,2010.60,6641.39,2337.67,1227.80,1530.22,8873.35,1207.39,1212.37,1473.24,752.08,239.80,216.99,427.93,268.09,333.72,277.09,264.24,761.79,11.00,0.00,342.35,1174.34,917.93,574.96,395.30,854.31,1582.38,488.30,89.50,545.89,77.76,2516.80,122.93,1989.44,177.21,301.96,3031.74,334.00,1679.26,2495.86,776.03,1290.93,754.05,922.83,84.00,153.02,331.24,0.00,0.00,16.07,0.00,56670.65
"7550 · License, Registration & Insur.",0.00,348.86,81.00,222.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,315.50,0.00,588.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.00,0.00,0.00,0.00,0.00,0.00,1905.08,0.00,0.00,0.00,0.00,0.00,149.00,51.00,0.00,0.00,0.00,148.33,0.00,199.70,0.00,0.00,0.00,0.00,35.15,9076.48,73.17,0.00,0.00,4978.98,18336.25
"7560 · Fuel",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,734.69,433.49,413.53,438.84,850.56,643.83,469.38,663.47,624.89,508.40,586.15,229.67,339.76,309.21,232.88,437.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,614.86,712.34,614.51,849.90,969.73,1153.95,952.41,14982.11,1338.45,1133.00,1339.85,987.05,834.33,1179.75,1001.11,670.19,737.17,37986.61
"7565 · Toll and Fees",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,64.65,310.00,0.00,19.88,0.00,19.88,83.48,0.00,0.00,0.00,11.15,60.35,0.00,0.00,8.00,652.39
"7572 · Mobile Tech Service & Software",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.15,35.15,0.00,35.15,105.45
"7500 · VEHICLE COSTS - NON MOVING - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.50,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.06
"Total 7500 · VEHICLE COSTS - NON MOVING",1647.16,1285.20,2091.60,6863.39,2337.67,1227.80,1530.22,8888.35,1207.39,1212.37,1473.24,752.08,974.49,965.98,841.46,1294.93,1184.28,920.92,733.62,1425.26,635.89,508.40,928.50,1553.01,1257.69,884.17,628.18,1291.46,1582.38,2393.38,89.50,545.89,77.76,2516.80,122.93,2138.44,918.07,1014.30,3710.90,1519.40,2797.32,3675.25,1928.14,16292.92,2175.98,2055.83,1423.85,1175.22,10253.20,1348.42,1036.26,686.26,5759.30,113782.41
"7600 · OFFICE & OTHER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Amort of Other Intangible Asse",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00
"7605 · Office Equip Non-Capitalized",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1687.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,299.79,0.00,0.00,0.00,1987.26
"7610 · Repairs & Maint-Equip",0.00,0.00,0.00,0.00,0.00,275.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,408.20
"7630 · Office Equipment Lease",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.46,0.00,305.59,0.00,50.56,123.25,72.37,77.87,132.62,0.00,61.37,198.11,0.00,66.87,222.56,66.87,0.00,120.43,133.74,0.00,129.98,66.87,0.00,66.88,77.52,0.00,70.64,66.87,10.60,71.08,0.00,0.00,74.02,0.00,2431.13
"7640 · Office Supplies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7640.1 · COVID office supplies",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,569.21,545.82,47.19,1162.22
"7640 · Office Supplies - Other",2403.43,1210.93,2273.50,1211.22,2973.55,2389.27,1271.86,2262.91,1004.75,1085.00,737.59,633.80,1252.17,433.04,1488.57,354.10,979.94,788.52,269.91,2256.03,866.21,120.85,799.80,695.39,31.97,718.08,1071.52,704.27,1504.39,441.17,1973.04,176.20,83.48,302.35,298.68,158.04,921.14,520.84,1094.44,326.64,743.15,2390.02,847.78,166.10,717.22,420.65,388.60,1063.37,947.31,614.17,1195.05,589.97,618.83,50790.81
"Total 7640 · Office Supplies",2403.43,1210.93,2273.50,1211.22,2973.55,2389.27,1271.86,2262.91,1004.75,1085.00,737.59,633.80,1252.17,433.04,1488.57,354.10,979.94,788.52,269.91,2256.03,866.21,120.85,799.80,695.39,31.97,718.08,1071.52,704.27,1504.39,441.17,1973.04,176.20,83.48,302.35,298.68,158.04,921.14,520.84,1094.44,326.64,743.15,2390.02,847.78,166.10,717.22,420.65,388.60,1063.37,947.31,614.17,1764.26,1135.79,666.02,51953.03
"7641 · Mobile Technology",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00,105.00,0.00,105.00,210.00,105.00,105.00,105.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,0.00,0.00,120.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,0.00,120.00,60.00,60.00,60.00,2460.00
"7645 · Postage & Delivery Expense",248.93,24.00,178.32,150.27,153.91,128.50,100.96,89.32,94.66,119.60,209.05,154.00,451.21,130.28,29.04,10.58,25.58,103.29,20.60,0.00,33.96,6.50,13.64,66.95,27.70,0.00,0.00,63.32,0.00,100.66,0.00,35.00,0.00,24.90,28.16,0.00,89.80,78.35,70.58,21.19,13.67,10.85,0.00,0.00,2.79,8.87,131.40,39.07,0.00,0.00,26.87,142.01,34.85,3493.19
"7646 · Dues and Subscriptions",25.00,25.00,14.00,25.00,5.00,45.00,50.00,25.00,25.00,5.00,45.00,25.00,25.00,25.00,13.00,45.00,25.00,25.00,25.00,654.07,812.82,653.47,572.97,45.00,592.97,29.99,608.47,592.97,572.97,607.97,607.97,592.97,592.97,572.97,658.66,582.97,592.97,592.97,620.97,577.96,602.97,827.97,592.97,602.97,592.97,592.97,635.97,598.97,598.96,592.97,604.97,618.70,616.61,20314.02
"7650 · Building Supplies",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.12,0.00,0.00,0.00,168.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.87
"7660 · Insurance-Other",517.58,0.00,517.58,517.58,517.58,122.43,1017.58,1535.16,12055.71,258.62,0.00,1051.17,1051.17,1051.17,1051.17,1051.17,1051.17,1051.17,1051.17,2950.20,8915.04,2240.31,971.85,3278.26,3278.26,3278.26,2306.41,5584.67,3278.26,971.85,971.85,16623.00,0.00,971.85,1994.43,971.85,971.85,1886.15,971.85,971.85,971.85,971.85,971.85,21597.55,971.85,0.00,971.85,971.85,971.85,971.85,971.85,971.85,971.85,121145.13
"7670 · Business Licenses & Permits",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,404.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,604.00,0.00,1008.00
"7680 · Cellular Phones",436.01,192.48,490.46,1279.40,62.79,60.52,53.62,57.09,267.48,196.85,198.03,196.86,41.98,196.92,353.30,199.10,195.03,189.69,182.75,146.04,148.23,33.20,189.73,325.21,177.05,191.78,133.96,47.04,58.80,47.04,47.04,58.80,47.04,47.04,58.80,47.04,58.80,47.04,47.04,47.04,58.80,47.04,47.04,58.80,47.04,58.80,47.04,47.04,58.80,47.04,47.04,58.80,47.04,7524.44
"7690 · Taxes-Other",0.00,0.00,525.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,727.00
"7695 · Allocated Office Costs",439.30,117.33,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,2173.26,813.44,806.45,0.00,185.38,362.71,1975.13,0.00,1423.22,1430.52,1414.08,-913.04,892.82,870.91,1818.60,1399.90,1459.27,493.99,446.56,540.45,820.72,307.71,2883.12,761.71,1193.36,2245.72,1779.02,776.93,1588.14,1201.54,971.66,709.68,2602.04,807.27,2838.40,1432.97,694.22,3585.88,553.91,1230.57,1868.89,50389.04
"7700 · Travel",2457.14,6877.83,623.47,794.30,2439.73,0.00,3671.26,2360.01,2151.60,1574.35,-1200.73,2780.76,1142.00,0.00,2776.64,1459.95,6017.56,0.00,3476.31,0.00,0.00,0.00,0.00,1009.60,0.00,357.60,0.00,0.00,0.00,212.77,0.00,2123.54,6850.18,2864.82,265.84,1186.28,70.00,1348.22,2578.45,5798.63,2996.92,3496.22,0.00,4153.72,860.24,1552.59,799.48,1320.00,0.00,73.82,2320.72,0.00,2108.36,83750.18
"7702 · Meals",0.00,41.87,0.00,35.61,0.00,26.85,0.00,0.00,112.38,200.00,258.34,207.93,99.21,151.04,0.00,81.17,0.00,0.00,89.50,0.00,0.00,0.00,143.47,0.00,7.58,182.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.66,0.00,0.00,0.00,10.73,0.00,0.00,257.62,25.00,55.22,97.56,90.04,315.20,0.00,18.97,142.79,2746.40
"7706 · Per Diem",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00
"7720 · Depreciation-Equip & Software",346.67,346.67,346.67,346.67,346.67,346.67,346.67,346.67,341.62,205.55,205.55,205.63,205.58,205.58,205.58,205.58,205.58,205.58,205.58,205.58,205.58,205.58,205.58,27.55,156.14,263.41,0.00,107.30,107.30,107.30,40.21,36.18,36.18,36.18,36.18,36.18,36.18,36.18,36.18,36.18,36.18,36.16,21.88,21.88,21.88,21.88,21.88,21.92,18.96,18.96,18.96,18.96,18.96,7426.38
"7730 · Depreciation-Furniture & Fixt",37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.96,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.96,37.91,75.82,0.00,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.96,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.91,37.96,3.63,3.63,3.63,3.63,3.63,1838.03
"7750 · Amortization of Franchise Fees",75.00,75.00,75.00,75.00,75.00,75.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,525.00
"7770 · Authorities Fees",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4913.80,0.00,704.82,0.00,0.00,156.89,0.00,0.00,1099.08,1161.76,600.00,0.00,0.00,0.00,1664.92,0.00,0.00,548.36,0.00,0.00,1140.91,0.00,0.00,986.77,0.00,0.00,812.20,0.00,0.00,684.21,0.00,0.00,1136.72,0.00,0.00,0.00,1056.35,0.00,0.00,0.00,916.70,0.00,17583.49
"7780 · Amort of Other Intangible Asset",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3094.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3094.65
"7790 · Uniforms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7790.1 · Gross Uniform Cost",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.88,0.00,1010.38,0.00,63.31,1241.41
"7790 · Uniforms - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.24,760.72,0.00,0.00,721.23,46.42,458.41,379.55,162.34,189.08,172.12,0.00,1004.84,0.00,452.01,0.00,0.00,0.00,199.68,280.62,0.00,0.00,1629.48,0.00,461.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.74,7079.03
"Total 7790 · Uniforms",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.24,760.72,0.00,0.00,721.23,46.42,458.41,357.39,162.34,189.08,172.12,0.00,1004.84,0.00,452.01,0.00,0.00,0.00,199.68,280.62,0.00,0.00,1629.48,0.00,461.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.88,0.00,1010.38,0.00,118.05,8320.44
"7600 · OFFICE & OTHER - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Total 7600 · OFFICE & OTHER",6986.97,8949.02,5220.44,4611.49,6750.67,3645.68,6763.39,6852.60,16229.64,3821.41,629.27,10345.44,6479.49,3749.20,6761.66,3550.80,9647.11,2868.87,7438.86,8234.60,13756.15,6302.34,4811.42,5890.78,5703.06,8021.25,6160.16,10222.17,7710.59,3677.37,4466.02,21508.29,8618.68,5671.30,7799.37,7020.05,4152.44,11211.93,7296.44,9245.86,8067.79,9090.29,3617.97,28622.85,6340.31,3783.43,6054.62,6757.66,3644.73,6643.31,7482.59,5854.00,6657.05,391398.88
"7800 · FRANCHISE OPERATING COST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7810 · Royalty Fees",0.00,10076.46,8716.30,12660.25,14594.84,21421.78,29676.38,26410.96,26056.45,18750.61,17522.67,28459.60,0.00,10298.24,10835.03,15354.45,14351.33,21681.42,28920.17,25409.57,21771.96,14906.54,14012.52,27373.65,0.00,10551.85,9642.48,15321.12,18294.27,22204.38,28588.68,25480.32,26196.84,15347.20,19025.47,31029.86,0.00,10888.65,14011.98,17410.75,19151.26,23646.37,33032.31,28701.56,29737.01,17942.55,19475.46,33728.22,17297.97,11207.33,13392.93,18928.94,14138.83,963635.77
"7820 · Advertising Fees",0.00,1679.41,1452.72,2110.04,2438.58,3570.30,4946.06,4401.83,4342.74,3125.10,2920.44,4743.27,0.00,1716.37,1805.84,2559.08,2391.89,3613.57,4820.03,4234.93,3628.66,2484.42,2335.42,4561.92,0.36,1758.64,1607.08,2553.52,3049.04,3700.73,4764.78,4246.72,4366.14,2557.87,3170.91,5171.65,0.00,1814.78,2335.33,2901.79,3191.88,3941.06,5505.38,4783.59,4956.17,2990.42,3245.91,5621.37,2883.00,1867.89,2232.16,3154.82,2356.47,160612.08
"7830 · Technology Fees",0.00,1679.41,1452.72,2110.04,2432.47,3570.30,4946.06,4401.83,4342.74,3125.10,2920.44,4743.27,0.00,1716.37,1805.84,2559.08,2391.89,3613.57,4820.03,4234.93,3628.66,2484.42,2335.42,4561.92,0.36,1758.64,1607.08,2553.52,3049.04,3700.73,4764.78,4246.72,4366.14,2557.87,3170.91,5171.65,0.00,1814.78,2335.33,2901.79,3191.88,3941.06,5505.38,4783.59,4956.17,2990.42,3245.91,5621.37,2883.00,1867.89,2232.16,2554.82,1756.47,159405.97
