,"Jan 16","Feb 16","Mar 16","Apr 16","May 16","Jun 16","Jul 16","Aug 16","Sep 16","Oct 16","Nov 16","Dec 16","Jan 17","Feb 17","Mar 17","Apr 17","May 17","Jun 17","Jul 17","Aug 17","Sep 17","Oct 17","Nov 17","Dec 17","Jan 18","Feb 18","Mar 18","Apr 18","May 18","Jun 18","Jul 18","Aug 18","Sep 18","Oct 18","Nov 18","Dec 18","Jan 19","Feb 19","Mar 19","Apr 19","May 19","Jun 19","Jul 19","Aug 19","Sep 19","Oct 19","Nov 19","Dec 19","Jan 20","Feb 20","Mar 20","Apr 20","May 20","TOTAL"
"Ordinary Income/Expense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Total 5000 · COST OF SUPPLIES",4457.04,4019.60,4198.10,21071.08,11369.68,10130.72,8052.15,8972.93,8747.40,5774.49,5804.79,4401.42,5246.88,3423.00,8837.75,10696.85,8822.71,14786.62,12521.47,6183.03,4363.22,3979.75,2688.96,5086.44,1587.42,4032.83,6162.29,16881.28,7108.54,12459.29,9429.12,7275.37,4867.41,9051.21,7442.18,6199.06,5033.08,8605.32,6731.02,13359.07,10383.56,12240.22,12076.18,12007.86,9278.59,10669.11,7016.70,4570.14,10274.28,7488.51,16121.44,6708.65,5439.93,434135.74
"5100 · DAMAGES & WARRANTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5150 · Damage Claims","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5150.1 · Gross Claims",3319.17,258.00,1415.80,1847.60,2179.89,1569.54,4448.95,2870.02,5055.84,18236.00,5812.76,4304.31,4232.90,2826.78,2343.10,2562.79,1751.44,2033.75,1429.38,2631.16,6725.46,2817.52,1205.40,2272.91,1780.95,853.52,-649.53,398.60,241.00,1180.48,7387.29,3122.90,836.08,2240.78,1616.88,729.00,397.50,129.14,2767.80,1686.91,4868.99,243.54,1201.30,5804.94,5895.39,1160.33,1933.11,7617.03,2424.40,5878.07,1952.14,1560.00,1023.14,150432.15
"5150.2 · Mover Reimbursements",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00
"5150.3 · Insurance Reimbursements",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-117.82,0.00,117.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"5150 · Damage Claims - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.50
"Total 5150 · Damage Claims",3319.17,258.00,1415.80,1847.60,2179.89,1569.54,4448.95,2870.02,5055.84,18118.18,5812.76,4422.13,4232.90,2826.78,2343.10,2562.79,1751.44,2033.75,1429.38,2631.16,6725.46,2717.52,1205.40,2425.41,1780.95,853.52,-649.53,398.60,241.00,1180.48,7387.29,3122.90,836.08,2240.78,1616.88,729.00,397.50,129.14,2767.80,1686.91,4868.99,243.54,1201.30,5804.94,5895.39,1160.33,1933.11,7617.03,2424.40,5878.07,1952.14,1560.00,1023.14,150484.65
"5100 · DAMAGES & WARRANTY - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.00
"Total 5100 · DAMAGES & WARRANTY",3319.17,258.00,1415.80,1847.60,2179.89,1569.54,4448.95,2870.02,5055.84,18118.18,5812.76,4422.13,4232.90,2826.78,2343.10,2562.79,1751.44,2033.75,1429.38,2631.16,6725.46,2717.52,1205.40,2425.41,1780.95,853.52,-649.53,398.60,241.00,1180.48,7387.29,3122.90,836.08,2240.78,1616.88,939.00,397.50,129.14,2767.80,1686.91,4868.99,243.54,1201.30,5804.94,5895.39,1160.33,1933.11,7617.03,2424.40,5878.07,1952.14,1560.00,1023.14,150694.65
"5200 · DIRECT LABOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5210 · Driver Wages",8988.29,15544.28,16130.84,15975.31,19749.65,23877.45,19861.17,20328.19,20500.97,24370.57,23994.53,30437.20,8611.05,15976.15,24459.43,19988.72,20617.99,28797.48,24928.78,28538.84,20621.21,17711.90,21543.63,28055.66,7920.13,16040.27,14586.78,11956.16,22773.93,17961.93,17461.30,19337.21,11190.92,19187.56,19652.57,27769.65,14653.32,17030.95,17910.68,19585.40,25827.07,20878.82,18627.70,23801.29,16266.68,21519.57,18673.32,20981.85,25512.50,17227.55,25385.58,31331.23,23504.91,1064166.12
"5220 · Driver Wages - Commission",10750.56,7464.89,12941.65,9041.80,12937.95,29214.46,23937.20,27359.65,19290.00,16800.80,17829.26,12017.36,9894.40,8418.72,15481.50,11295.61,15732.68,30807.09,31412.17,28270.36,15598.50,14800.26,10661.85,14634.20,14406.12,8850.07,15760.04,15093.06,25083.36,23938.20,20469.60,39284.09,16070.96,12883.70,19749.55,10277.52,11130.55,14047.32,10512.80,17473.67,27261.57,34323.50,32308.94,43196.86,17992.64,19106.91,11276.95,12631.62,9161.65,10887.27,10343.16,14690.50,12819.58,937624.68
"5230 · Driver Wages - OT",639.38,1327.32,0.00,342.01,1032.76,159.00,337.88,904.13,1057.31,1493.82,459.38,1123.88,369.94,87.75,876.76,204.19,427.50,3143.06,856.88,1022.63,625.50,683.44,713.81,942.57,960.00,81.38,394.32,207.56,326.44,0.00,301.88,375.19,38.06,981.38,226.51,35.44,283.88,640.50,65.25,649.88,327.75,282.00,675.38,587.06,174.00,1469.07,385.13,492.38,78.75,206.63,848.07,368.44,106.51,30399.74
"5250 · Driver Indirect Labor",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.17,0.00,0.00,158.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,777.46
"5310 · Mover Wages",11433.34,16185.41,19133.66,22690.39,34812.40,60742.16,60287.86,56835.98,23519.39,25036.39,27457.54,32857.56,10891.49,20077.78,28570.06,26200.90,28308.05,42529.66,27498.40,34762.36,22841.83,21401.57,24146.24,32100.72,13489.76,19742.26,22848.46,24223.76,37168.79,38048.29,33826.31,41562.87,23630.00,27792.47,28248.19,30730.19,13597.10,20627.92,25858.96,30038.87,42962.76,43984.31,41913.67,51836.13,30554.53,36913.83,30410.47,28766.78,33303.93,19673.02,31169.51,34138.37,32696.71,1600079.36
"5320 · Mover Wages - Commission",8846.77,6391.34,10023.01,7643.39,13287.33,30027.39,26028.24,31177.13,13230.82,11628.59,10463.29,8448.87,8578.40,6599.95,12587.33,10792.25,12140.12,23651.81,19239.08,17515.44,8755.32,7895.25,5857.77,7109.74,6049.43,3784.18,7623.46,10909.96,18054.82,24068.98,22126.41,29023.47,15099.50,14739.90,19001.32,10738.84,10128.81,8899.94,7625.90,10724.29,14694.11,22278.49,21489.09,27210.79,11875.80,12998.73,9972.44,12482.75,6482.80,8685.81,7442.04,7268.38,5551.36,704950.43
"5330 · Mover Wages - OT",0.00,525.02,187.69,343.89,1344.96,1152.01,1681.89,1841.64,1654.51,1971.58,2813.45,1995.21,157.50,289.89,1672.14,289.31,660.19,3140.07,1371.95,1892.64,411.75,404.06,891.76,870.00,785.26,143.25,318.94,583.32,427.50,1704.94,866.25,1478.81,132.19,499.14,176.81,44.44,82.50,144.00,274.88,1794.39,663.75,1610.93,1413.57,1453.88,1371.76,2872.52,370.50,845.25,390.00,110.25,921.20,397.69,9.75,49450.78
